restaurant_url,Label 1,Label 2,Label 3,Label 4,Label 5
https://www.yelp.com/biz/tailgaters-sports-bar-and-grill-wasilla,Sports Bars,American,,,
https://www.yelp.com/biz/tuscana-pizza-wasilla-2,Pizza,Italian,,,
https://www.yelp.com/biz/marcellos-wasilla-wasilla,Italian,Greek,,,
https://www.yelp.com/biz/the-awakening-espresso-wasilla,Coffee & Tea,,,,
https://www.yelp.com/biz/sakura-sushi-japanese-restaurant-wasilla,Japanese,,,,
https://www.yelp.com/biz/everetts-wasilla,Wine Bars,Steakhouses,Burgers,,
https://www.yelp.com/biz/caffe-dolce-907-wasilla,Coffee & Tea,Desserts,Sandwiches,,
https://www.yelp.com/biz/senor-taco-mexican-grill-wasilla,Mexican,,,,
https://www.yelp.com/biz/evangelos-restaurant-wasilla,Pizza,Italian,,,
https://www.yelp.com/biz/bearpaw-river-brewing-wasilla,Gastropubs,Pubs,Breweries,,
https://www.yelp.com/biz/pho-vatsana-wasilla,,,,,
https://www.yelp.com/biz/little-millers-ice-cream-express-wasilla,Coffee & Tea,Ice Cream & Frozen Yogurt,Desserts,,
https://www.yelp.com/biz/mekong-thai-cuisine-wasilla-2,Thai,,,,
https://www.yelp.com/biz/cadillac-cafe-wasilla,Pizza,Burgers,American,,
https://www.yelp.com/biz/mat-su-family-restaurant-wasilla,Diners,American,,,
https://www.yelp.com/biz/chepos-fiesta-restaurant-wasilla,Mexican,,,,
https://www.yelp.com/biz/hebrews-caf%C3%A9-wasilla-3,Cafes,Soup,Sandwiches,,
https://www.yelp.com/biz/kims-korean-bbq-wasilla,Korean,Asian Fusion,,,
https://www.yelp.com/biz/zushi-wasilla-2,,,,,
https://www.yelp.com/biz/krazy-moose-subs-wasilla,,,,,
https://www.yelp.com/biz/cafe-khao-neow-sticky-rice-wasilla,Laotian,Noodles,,,
https://www.yelp.com/biz/tacos-cancun-mexican-grill-wasilla,Latin American,Mexican,,,
https://www.yelp.com/biz/the-grape-tap-wasilla,Diners,,,,
https://www.yelp.com/biz/basil-ginger-wasilla,Sushi Bars,Thai,Bars,,
https://www.yelp.com/biz/pataya-sushi-wasilla,Japanese,Thai,Sushi Bars,,
